koi_disposition,koi_prad,koi_teq,koi_period
CONFIRMED,2.83,443,54.4183827
FALSE POSITIVE,14.6,638,19.89913995
FALSE POSITIVE,33.46,1395,1.7369524530000002
CONFIRMED,2.75,1406,2.525591777
CONFIRMED,2.77,1160,4.13443512
CONFIRMED,1.59,1360,2.56658897
CONFIRMED,5.76,600,16.06864674
CONFIRMED,13.04,1339,2.470613377
CONFIRMED,16.1,2048,2.2047354169999998
CONFIRMED,14.59,1521,3.5224984289999997
CONFIRMED,1.16,1206,3.709214104
FALSE POSITIVE,150.51,753,11.52144606
FALSE POSITIVE,49.29,698,19.22138894
FALSE POSITIVE,7.94,595,16.46983774
CONFIRMED,2.47,649,9.27358173
CONFIRMED,2.85,678,6.02930329
FALSE POSITIVE,1.58,1066,2.6963706519999997
CONFIRMED,1.7,1018,3.94105221
FALSE POSITIVE,41.5,297,386.6030528
CONFIRMED,2.95,530,21.67699193
CONFIRMED,2.78,917,4.99677968
CONFIRMED,2.3,1012,4.280963604
FALSE POSITIVE,4.53,1452,1.50635409
FALSE POSITIVE,14.14,196,670.645531
FALSE POSITIVE,39.87,505,61.256362800000005
CONFIRMED,3.86,439,41.19725502
CONFIRMED,2.65,823,6.252962248999999
CONFIRMED,3.36,506,32.62876672
CONFIRMED,2.12,359,91.7732862
CANDIDATE,12.21,1103,4.959319244
FALSE POSITIVE,6.54,1222,2.7012878010000003
CONFIRMED,2.1,1133,4.49876511
FALSE POSITIVE,12.42,730,19.65120951
CONFIRMED,2.94,1093,5.412203927
CONFIRMED,5.5,516,41.43958662
CONFIRMED,2.52,790,8.35389523
CONFIRMED,4.43,1243,4.1255434719999995
CONFIRMED,12.21,1219,2.816504904
FALSE POSITIVE,7.34,430,33.93373447
CONFIRMED,3.25,1104,4.431238488
CONFIRMED,3.95,806,11.37936986
CONFIRMED,2.64,785,13.57078281
CONFIRMED,1.79,997,7.12594387
FALSE POSITIVE,15.03,967,7.442652004
CONFIRMED,2.0,433,16.38489988
CONFIRMED,1.99,332,36.4454001
CONFIRMED,6.02,1023,3.7287321469999997
CANDIDATE,7.51,467,40.4195037
CONFIRMED,1.99,822,2.243380573
CONFIRMED,2.34,1070,2.337437946
CANDIDATE,19.45,734,7.240661200000001
CANDIDATE,0.55,1272,3.43591631
CONFIRMED,2.65,396,11.59822233
CONFIRMED,4.86,833,7.275040843999999
CONFIRMED,1.93,393,19.27153892
CONFIRMED,1.91,488,10.06524317
CONFIRMED,2.66,677,12.3935651
CONFIRMED,2.87,531,43.84439721
FALSE POSITIVE,21.55,1032,3.341913228
CANDIDATE,32.43,1547,1.626630225
CONFIRMED,2.36,390,60.41893689999999
CONFIRMED,7.4,753,12.61190435
FALSE POSITIVE,46.58,1920,1.433769925
CONFIRMED,2.06,1332,2.5391831469999997
CONFIRMED,2.77,812,6.770300385
FALSE POSITIVE,27.51,1836,0.44429196600000004
CANDIDATE,7.73,812,10.181583999999999
CONFIRMED,1.96,361,20.06036336
CONFIRMED,1.83,273,46.1842039
CONFIRMED,1.31,649,23.9800854
